Horodateur,origin,city,country,way_in,way_out,green.grant,lon.city,lat.city,destination,destinationlon,destinationlat,distance_km,lon.country,lat.country,distance.country,inkg.km,outkg.km,inkg,outkg,kgtotal
04/12/2019 17:50:50,Munich (Germany),Munich ,Germany,Train,Plane,NA,11.5819805,48.1351253,Paris (France),2.3619747,48.8354373,684.3110882699347,10.451526,51.165691,633.8572778308848,0.00506,0.25,3.4626141066458693,171.07777206748366,174.54038617412954
04/12/2019 18:02:16,Paris (France),Paris ,France,Metro or RER,Metro or RER,NA,2.3522219,48.856614,Paris (France),2.3619747,48.8354373,2.4632704964029455,2.213749,46.227638,290.51241838385585,0.0057,0.0057,0.01404064182949679,0.01404064182949679,0.02808128365899358
04/12/2019 18:49:02,Paris (France),Paris ,France,Metro or RER,Bike,NA,2.3522219,48.856614,Paris (France),2.3619747,48.8354373,2.4632704964029455,2.213749,46.227638,290.51241838385585,0.0057,0,0.01404064182949679,0,0.01404064182949679
04/12/2019 18:55:04,Paris (France),Paris ,France,Bike,Bike,NA,2.3522219,48.856614,Paris (France),2.3619747,48.8354373,2.4632704964029455,2.213749,46.227638,290.51241838385585,0,0,0,0,0
04/12/2019 19:25:09,Aix-en Provence (France),Aix-en Provence ,France,Train,Train,NA,5.447426999999999,43.529742,Paris (France),2.3619747,48.8354373,636.5635889544445,2.213749,46.227638,290.51241838385585,0.00506,0.00506,3.2210117601094894,3.2210117601094894,6.442023520218979
04/12/2019 22:02:55,Paris (France),Paris ,France,Metro or RER,Metro or RER,NA,2.3522219,48.856614,Paris (France),2.3619747,48.8354373,2.4632704964029455,2.213749,46.227638,290.51241838385585,0.0057,0.0057,0.01404064182949679,0.01404064182949679,0.02808128365899358
04/12/2019 23:29:47,14th arrondissement Paris (France),14th arrondissement Paris ,France,Metro or RER,Metro or RER,NA,2.3255684,48.8314408,Paris (France),2.3619747,48.8354373,2.7045530375172566,2.213749,46.227638,290.51241838385585,0.0057,0.0057,0.015415952313848364,0.015415952313848364,0.030831904627696728
04/12/2019 23:35:42,Porto (Portugal),Porto ,Portugal,Plane,Plane,NA,-8.629105299999999,41.1579438,Paris (France),2.3619747,48.8354373,1213.8330873044126,-8.224454,39.39987199999999,1346.0569230855483,0.25,0.25,303.45827182610316,303.45827182610316,606.9165436522063
05/12/2019 00:16:53,Geneva (Switzerland),Geneva ,Switzerland,Plane,Plane,NA,6.1431577,46.2043907,Paris (France),2.3619747,48.8354373,408.0515703657236,8.227511999999999,46.818188,492.35430030274244,0.25,0.25,102.0128925914309,102.0128925914309,204.0257851828618
05/12/2019 07:30:28,Aarhus (Denmark),Aarhus ,Denmark,Plane,Plane,NA,10.203921,56.162939,Paris (France),2.3619747,48.8354373,972.1904192775239,9.501785,56.26392,956.6632566779796,0.25,0.25,243.04760481938098,243.04760481938098,486.09520963876196
05/12/2019 09:08:48,Glasgow (Scotland),Glasgow ,Scotland,Plane,Plane,NA,-4.251806,55.864237,Paris (France),2.3619747,48.8354373,901.5514642413377,-4.2026458,56.49067119999999,959.5345594449508,0.25,0.25,225.38786606033443,225.38786606033443,450.77573212066886
05/12/2019 10:21:00,Leuven (Belgium),Leuven ,Belgium,Train,Train,NA,4.7005176,50.8798438,Paris (France),2.3619747,48.8354373,282.740808065931,4.469936,50.503887,239.89610458915163,0.00506,0.00506,1.430668488813611,1.430668488813611,2.861336977627222
05/12/2019 10:58:13,Milan (Italy),Milan ,Italy,Train,Plane,1,9.189982,45.464203500000004,Paris (France),2.3619747,48.8354373,638.3836000791583,12.56738,41.87194,1110.9410486106967,0.00506,0.25,3.230221016400541,159.59590001978958,162.82612103619013
05/12/2019 11:31:26,Paris (France),Paris ,France,Metro or RER,Metro or RER,NA,2.3522219,48.856614,Paris (France),2.3619747,48.8354373,2.4632704964029455,2.213749,46.227638,290.51241838385585,0.0057,0.0057,0.01404064182949679,0.01404064182949679,0.02808128365899358
05/12/2019 11:31:59,Le Kremlin-Bicêtre (France),Le Kremlin-Bicêtre ,France,Feet,Feet,NA,2.356972,48.810108,Paris (France),2.3619747,48.8354373,2.8433841620321347,2.213749,46.227638,290.51241838385585,0,0,0,0,0
05/12/2019 12:08:12,Paris (France),Paris ,France,Bike,Bike,NA,2.3522219,48.856614,Paris (France),2.3619747,48.8354373,2.4632704964029455,2.213749,46.227638,290.51241838385585,0,0,0,0,0
05/12/2019 13:34:19,Moscow (Moscow Russia),Moscow ,Moscow Russia,Plane,Train,NA,37.6172999,55.755826,Paris (France),2.3619747,48.8354373,2489.648459010599,37.6172999,55.755826,2489.648459010599,0.25,0.00506,622.4121147526497,12.597621202593631,635.0097359552433
05/12/2019 13:45:49,Paris (France),Paris ,France,Metro or RER,Metro or RER,NA,2.3522219,48.856614,Paris (France),2.3619747,48.8354373,2.4632704964029455,2.213749,46.227638,290.51241838385585,0.0057,0.0057,0.01404064182949679,0.01404064182949679,0.02808128365899358
05/12/2019 13:46:09,Paris (France),Paris ,France,Metro or RER,Feet,NA,2.3522219,48.856614,Paris (France),2.3619747,48.8354373,2.4632704964029455,2.213749,46.227638,290.51241838385585,0.0057,0,0.01404064182949679,0,0.01404064182949679
